,Epoch,Hidden layer features,Test accuracy
0,0,-1,4.666666666666667
1,100,-1,22.0
2,200,-1,36.666666666666664
3,300,-1,43.666666666666664
4,400,-1,48.66666666666667
5,500,-1,51.33333333333333
6,600,-1,53.0
7,700,-1,53.333333333333336
8,800,-1,52.666666666666664
9,900,-1,52.0
10,1000,-1,50.66666666666667
11,1100,-1,50.66666666666667
12,1200,-1,51.0
13,1300,-1,51.33333333333333
14,1400,-1,51.66666666666667
15,1500,-1,51.66666666666667
16,1600,-1,51.33333333333333
17,1700,-1,52.666666666666664
18,1800,-1,52.666666666666664
19,1900,-1,52.0
20,2000,-1,52.666666666666664
21,2100,-1,52.666666666666664
22,2200,-1,53.666666666666664
23,2300,-1,53.666666666666664
24,2400,-1,53.666666666666664
25,2500,-1,53.666666666666664
26,2600,-1,53.666666666666664
27,2700,-1,54.0
28,2800,-1,53.333333333333336
29,2900,-1,53.666666666666664
30,3000,-1,53.666666666666664
31,3100,-1,53.666666666666664
32,3200,-1,53.666666666666664
33,3300,-1,54.0
34,3400,-1,54.666666666666664
35,3500,-1,54.666666666666664
36,3600,-1,54.666666666666664
37,3700,-1,54.666666666666664
38,3800,-1,54.666666666666664
39,3900,-1,54.666666666666664
40,4000,-1,55.00000000000001
41,4100,-1,55.00000000000001
42,4200,-1,55.00000000000001
43,4300,-1,55.333333333333336
44,4400,-1,55.666666666666664
45,4500,-1,55.666666666666664
46,4600,-1,56.00000000000001
47,4700,-1,55.666666666666664
48,4800,-1,55.666666666666664
49,4900,-1,55.333333333333336
50,5000,-1,55.666666666666664
51,0,-2,14.333333333333334
52,100,-2,100.0
53,200,-2,100.0
54,300,-2,100.0
55,400,-2,100.0
56,500,-2,100.0
57,600,-2,100.0
58,700,-2,100.0
59,800,-2,100.0
60,900,-2,100.0
61,1000,-2,100.0
62,1100,-2,100.0
63,1200,-2,100.0
64,1300,-2,100.0
65,1400,-2,100.0
66,1500,-2,100.0
67,1600,-2,100.0
68,1700,-2,100.0
69,1800,-2,100.0
70,1900,-2,100.0
71,2000,-2,100.0
72,2100,-2,100.0
73,2200,-2,100.0
74,2300,-2,100.0
75,2400,-2,100.0
76,2500,-2,100.0
77,2600,-2,100.0
78,2700,-2,100.0
79,2800,-2,100.0
80,2900,-2,100.0
81,3000,-2,100.0
82,3100,-2,100.0
83,3200,-2,100.0
84,3300,-2,100.0
85,3400,-2,100.0
86,3500,-2,100.0
87,3600,-2,100.0
88,3700,-2,100.0
89,3800,-2,100.0
90,3900,-2,100.0
91,4000,-2,100.0
92,4100,-2,100.0
93,4200,-2,100.0
94,4300,-2,100.0
95,4400,-2,100.0
96,4500,-2,100.0
97,4600,-2,100.0
98,4700,-2,100.0
99,4800,-2,100.0
100,4900,-2,100.0
101,5000,-2,100.0
102,0,-3,4.666666666666667
103,100,-3,93.0
104,200,-3,98.66666666666667
105,300,-3,100.0
106,400,-3,100.0
107,500,-3,100.0
108,600,-3,100.0
109,700,-3,100.0
110,800,-3,100.0
111,900,-3,100.0
112,1000,-3,100.0
113,1100,-3,100.0
114,1200,-3,100.0
115,1300,-3,100.0
116,1400,-3,100.0
117,1500,-3,100.0
118,1600,-3,100.0
119,1700,-3,100.0
120,1800,-3,100.0
121,1900,-3,100.0
122,2000,-3,100.0
123,2100,-3,100.0
124,2200,-3,100.0
125,2300,-3,100.0
126,2400,-3,100.0
127,2500,-3,100.0
128,2600,-3,100.0
129,2700,-3,100.0
130,2800,-3,100.0
131,2900,-3,100.0
132,3000,-3,100.0
133,3100,-3,100.0
134,3200,-3,100.0
135,3300,-3,100.0
136,3400,-3,100.0
137,3500,-3,100.0
138,3600,-3,100.0
139,3700,-3,100.0
140,3800,-3,100.0
141,3900,-3,100.0
142,4000,-3,100.0
143,4100,-3,100.0
144,4200,-3,100.0
145,4300,-3,100.0
146,4400,-3,100.0
147,4500,-3,100.0
148,4600,-3,100.0
149,4700,-3,100.0
150,4800,-3,100.0
151,4900,-3,100.0
152,5000,-3,100.0
153,0,-4,4.333333333333334
154,100,-4,69.0
155,200,-4,83.66666666666667
156,300,-4,87.66666666666667
157,400,-4,90.0
158,500,-4,91.33333333333333
159,600,-4,91.66666666666666
160,700,-4,91.66666666666666
161,800,-4,93.0
162,900,-4,93.33333333333333
163,1000,-4,94.0
164,1100,-4,94.0
165,1200,-4,94.66666666666667
166,1300,-4,95.66666666666667
167,1400,-4,95.66666666666667
168,1500,-4,96.33333333333334
169,1600,-4,96.66666666666667
170,1700,-4,97.33333333333334
171,1800,-4,97.66666666666667
172,1900,-4,98.0
173,2000,-4,98.0
174,2100,-4,98.33333333333333
175,2200,-4,98.33333333333333
176,2300,-4,98.66666666666667
177,2400,-4,99.33333333333333
178,2500,-4,99.66666666666667
179,2600,-4,99.66666666666667
180,2700,-4,99.66666666666667
181,2800,-4,99.66666666666667
182,2900,-4,99.66666666666667
183,3000,-4,99.66666666666667
184,3100,-4,99.66666666666667
185,3200,-4,99.66666666666667
186,3300,-4,99.66666666666667
187,3400,-4,99.66666666666667
188,3500,-4,100.0
189,3600,-4,100.0
190,3700,-4,100.0
191,3800,-4,100.0
192,3900,-4,100.0
193,4000,-4,100.0
194,4100,-4,100.0
195,4200,-4,100.0
196,4300,-4,100.0
197,4400,-4,100.0
198,4500,-4,100.0
199,4600,-4,100.0
200,4700,-4,100.0
201,4800,-4,100.0
202,4900,-4,100.0
203,5000,-4,100.0
